,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,,,,,,,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,
Appliance,EP_purpose,Useful Gains,Fraction latent,Design Level (W) ,Gross Rated Cooling COP,Gross Rated Heating COP,Efficiency,Peak_Flow_Rate,4,5,6,7,8,9,10,PM25(mg/min),PM10(mg/min),NO2(mug/s),Calculation Method,Notes,watts per zone floor area [w/m2],watts per person [w/p],fraction radiant,fraction lost,occupancy [m2/p],flow per exterior surface m3/s-m2,flow rate per person m3/s-p,,,sigma,lower,upper,,
Office_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,16,,,,,,,,,3.2,6.4,25.6,20,
Circulation_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,4,,,,,,,,,0.8,1.6,6.4,20,
Stairs_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,2,,,,,,,,,0.4,0.8,3.2,20,
Storage_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,0,,,,,,,,,0,0,0,20,
Laboratory_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,16,,,,,,,,,3.2,6.4,25.6,20,
Lavatory_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,2,,,,,,,,,0.4,0.8,3.2,20,
Lift_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,2,,,,,,,,,0.4,0.8,3.2,20,
Plant_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,50,,,,,,,,,10,20,80,20,
Server_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,5,,,,,,,,,1,2,8,20,
LiftLobby_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,
Workshop_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,55,,,,,,,,,11,22,88,20,
ComputerCluster_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,20,,,,,,,,,4,8,32,20,
Meeting_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,
LectureTheatre_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,10,,,,,,,,,2,4,16,20,
PrintRoom_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,
Kitchen_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,
Reception_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,10,,,,,,,,,2.00E+00,4,16,20,
Library_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,8,,,,,,,,,1.60E+00,3.2,12.8,20,
Shower_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,3,,,,,,,,,6.00E-01,1.2,4.8,20,
ServerExclusive_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1000,,,,,,,,,2.00E+02,400,1600,20,
Office_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Circulation_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Stairs_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Storage_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Laboratory_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Lavatory_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Server_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
LiftLobby_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Workshop_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
ComputerCluster_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Meeting_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
LectureTheatre_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
PrintRoom_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Kitchen_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
Reception_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,1.74E-04,6.95E-04,20,
Library_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,1.74E-04,6.95E-04,20,
Shower_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,1.74E-04,6.95E-04,20,
ServerExclusive_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,8.68E-05,0.000173636,0.000694544,20,
ZoneVentilation,ZoneVentilation:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/Person,,,,,,,,0.008,,,1.60E-03,0.0032,0.0128,20,
VRF_LiftLobby_1to4,AirConditioner:VariableRefrigerantFlow,,,,3.17,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
VRF_LiftLobby_5to8,AirConditioner:VariableRefrigerantFlow,,,,3.17,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
Dence_DCRA50-6_409,AirConditioner:VariableRefrigerantFlow,,,,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
VRF_G01_RZQ_1,AirConditioner:VariableRefrigerantFlow,,,,3.38,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,20,uses the percentage and does the sigma calc in the script…
VRF_G01_RZQ_2,AirConditioner:VariableRefrigerantFlow,,,,3.38,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
Office_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,8,,1.6,3.2,12.8,20,
Riser_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,0,,0,0,0,20,
Circulation_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,0.8,1.6,6.4,20,
Storage_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,0,,0.00E+00,0,0,20,
Laboratory_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,0.8,1.6,6.4,20,
Lavatory_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,10,,2,4,16,20,
Lift_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,0,,0,0,0,20,
Plant_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,0.8,1.6,6.4,20,
Server_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,0,,0.00E+00,0,0,20,
LiftLobby_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,8,,1.60E+00,3.2,12.8,20,
Workshop_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,8,,1.6,3.2,12.8,20,
ComputerCluster_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,6,,1.2,2.4,9.6,20,
Meeting_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,0.8,1.6,6.4,20,
LectureTheatre_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,0.8,1.6,6.4,20,
PrintRoom_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,8.00E-01,1.60E+00,6.4,20,
Kitchen_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,8.00E-01,1.60E+00,6.4,20,
Reception_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,8.00E-01,1.60E+00,6.40E+00,20,
Library_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,0.8,1.6,6.4,20,
Shower_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,10,,2,4,16,20,
CWS_Fixture_EngineCooling,WaterUse:Equipment,,6 fixtures,,,,,0.000844444,,,,,,,,,,,,,,,,,,,,,,0.000168889,0.000337778,0.001351111,20,
CWS_Fixture_FSTF,WaterUse:Equipment,,2 fixtures,,,,,0.000844444,,,,,,,,,,,,,,,,,,,,,,1.69E-04,3.38E-04,0.001351111,20,
HWS_Fixture_Labs,WaterUse:Equipment,,10 fixtures,,,,,0.000105556,,,,,,,,,,,,,,,,,,,,,,2.11E-05,4.22E-05,0.000168889,20,
ExhaustFans,Fan:ZoneExhaust,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.12,0.24,0.96,20,
