,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,,,,,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
LectureTheatre_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,8,,,,,,,,,0.8,5.6,10.4
Meeting_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,11.68,,,,,,,,,1.168,8.176,15.184
Office_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,15,,,,,,,,,1.5,10.5,19.5
Plant_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,25,,,,,,,,,2.5,17.5,32.5
PrintRoom_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,20,,,,,,,,,2,14,26
Reception_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,4,,,,,,,,,0.4,2.8,5.2
Server_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,50,,,,,,,,,5,35,65
Shower_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.85,,,,,,,,,0.185,1.295,2.405
Storage_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,0,,,,,,,,,0,0,0
Circulation_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
ComputerCluster_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Kitchen_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Library_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Lavatory_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
LectureTheatre_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Meeting_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Office_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Plant_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
PrintRoom_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Reception_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Server_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Shower_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
Storage_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.004,,,,0.0008,0.0016,0.0064
ZoneVentilation,ZoneVentilation:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/Person,,,,,,,,0.008,,,0.0016,0.0032,0.0128
VRVBasement,AirConditioner:VariableRefrigerantFlow,,,,3.75,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,4.5
VRVGround,AirConditioner:VariableRefrigerantFlow,,,,3.16,3.87,,,,,,,,,,,,,,,,,,,,,,,,0.210666667,2.528,3.792
VRVFirst,AirConditioner:VariableRefrigerantFlow,,,,3.62,4.04,,,,,,,,,,,,,,,,,,,,,,,,0.241333333,2.896,4.344
VRVSecond,AirConditioner:VariableRefrigerantFlow,,,,3.49,3.97,,,,,,,,,,,,,,,,,,,,,,,,0.232666667,2.792,4.188
VRVThirdFrontAndMiddle,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,0.212666667,2.552,3.828
VRVThirdRear,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,0.212666667,2.552,3.828
VRVFourth,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,0.212666667,2.552,3.828
VRVFifthFront,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,0.212666667,2.552,3.828
VRVFifthMiddle,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,0.212666667,2.552,3.828
VRVFifthRear,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,0.212666667,2.552,3.828
VRVSixth,AirConditioner:VariableRefrigerantFlow,,,,3.84,4.24,,,,,,,,,,,,,,,,,,,,,,,,0.256,3.072,4.608
VRVServers,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,0.212666667,2.552,3.828
Boiler1,Boiler:HotWater,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,0.0372,0.8184,1
Boiler2,Boiler:HotWater,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,0.0372,0.8184,1
ExhaustFans,Fan:ZoneExhaust,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.024,0.528,0.672
Fixture_Cleaners,WaterUse:Equipment,,,,,,,1.48E-05,,,,,,,,,,,,,,,,,,,,,,9.85E-07,1.18E-05,1.77E-05
Fixture_MaleToilets,WaterUse:Equipment,,,,,,,5.11E-05,,,,,,,,,,,,,,,,,,,,,,3.41E-06,4.09E-05,6.13E-05
Fixture_FemaleToilets,WaterUse:Equipment,,,,,,,5.11E-05,,,,,,,,,,,,,,,,,,,,,,3.41E-06,4.09E-05,6.13E-05
Fixture_Kitchenettes,WaterUse:Equipment,,,,,,,0.000211111,,,,,,,,,,,,,,,,,,,,,,1.41E-05,0.000168889,0.000253333
Fixture_DisabledToilets,WaterUse:Equipment,,,,,,,0.0000575,,,,,,,,,,,,,,,,,,,,,,3.83E-06,0.000046,0.000069
Fixture_Showers,WaterUse:Equipment,,,,,,,0.000253333,,,,,,,,,,,,,,,,,,,,,,1.69E-05,0.000202667,0.000304
