,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,,,,,,,,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,
Appliance,EP_purpose,Useful Gains,Fraction latent,Design Level (W) ,Gross Rated Cooling COP,Gross Rated Heating COP,Efficiency,Peak_Flow_Rate,4,5,6,7,8,9,10,PM25(mg/min),PM10(mg/min),NO2(mug/s),Calculation Method,Notes,watts per zone floor area [w/m2],watts per person [w/p],fraction radiant,fraction lost,occupancy [m2/p],flow per exterior surface m3/s-m2,flow rate per person m3/s-p,,calibrated,sigma,lower,upper,,,
Circulation_2_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.5,,,,,,,,,0.3,0.6,2.4,20,,
Circulation_3_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.5,,,,,,,,,0.3,0.6,2.4,20,,
Circulation_GF_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.5,,,,,,,,,0.3,0.6,2.4,20,,
Meeting_B_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,,
Meeting_1_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,,
Meeting_2_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,,
Meeting_3_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,,
Meeting_GF_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,2.4,4.8,19.2,20,,
Reception_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,8,,,,,,,,,1.6,3.2,12.8,20,,
Canteen_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,25,,,,,,,,,5,10,40,20,,
Storage_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.5,,,,,,,,,0.3,0.6,2.4,20,,
Toilet_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.5,,,,,,,,,0.3,0.6,2.4,20,,
Plant_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,5,,,,,,,,,1,2,8,20,,
Office_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.000645487,,,,0.000129097,0.000258195,0.001032779,20,,
Circulation_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.000645487,,,,0.000129097,0.000258195,0.001032779,20,,
