0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
CWS_temp,ColdWater,NoChange,Temperature,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
EWH_Fraction,HotWater,NoChange,Fraction,,20.93117874,,,0,0,0,0,0,0,0,0,0,0,0.191994122,0.239774095,0.304897154,0.365611485,0.386214359,0.411599492,0.436859865,0.516875721,0.617212987,0.82194188,0.995995647,0.983750238,1,0.954317808,0.91997272,0.873851684,0.860397774,0.847135139,0.840389077,0.855870731,0.865336795,0.827317341,0.804239537,0.712057113,0.652708841,0.594138211,0.468497733,0.44494268,0.441576384,0.407528619,0.368226606,0.326793131,0.300297924,0.292855847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWH_Kitchen_Fraction,HotWater,NoChange,Fraction,,11.91241816,,,0,0,0,0,0,0,0,0,0,0.2,0.441950479,0.617687735,0.745062336,0.764189802,0.796934909,0.964626948,1,0.929926029,0.924530949,0.843392698,0.841817024,0.855992144,0.84501793,0.83291974,0.833239247,0.816468565,0.837645069,0.830738724,0.828523607,0.807626538,0.783548549,0.796682521,0.778365562,0.759049009,0.745416718,0.716278445,0.651003296,0.578558241,0.472882254,0.37232843,0.323483687,0.288949135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWH_Shower_Fraction,HotWater,NoChange,Fraction,,11.91241816,,,0,0,0,0,0,0,0,0,0,0.2,0.441950479,0.617687735,0.745062336,0.764189802,0.796934909,0.964626948,1,0.929926029,0.924530949,0.843392698,0.841817024,0.855992144,0.84501793,0.83291974,0.833239247,0.816468565,0.837645069,0.830738724,0.828523607,0.807626538,0.783548549,0.796682521,0.778365562,0.759049009,0.745416718,0.716278445,0.651003296,0.578558241,0.472882254,0.37232843,0.323483687,0.288949135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoilerSchedule,Boiler,NoChange,Fraction,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HWtemp_Boiler,System,Single,Temperature,2,,,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
Infiltration,Infiltration,NoChange,Fraction,,,,1,1,1,1,1,1,1,1,1,1,1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Office_Cooling,Multiple,NoChange,Temperature,,,,,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50
Office_Heating,Multiple,NoChange,Temperature,,,,,12,12,12,12,12,12,12,12,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12,12
Office_LightSched_B,LightSched,Multiple,Fraction,,,,,0.181468152,0.181311419,0.183496618,0.184117608,0.186873815,0.180454935,0.183877188,0.180204737,0.187860229,0.228767168,0.441950479,0.617687735,0.745062336,0.764189802,0.796934909,0.964626948,1,0.929926029,0.924530949,0.843392698,0.841817024,0.855992144,0.84501793,0.83291974,0.833239247,0.816468565,0.837645069,0.830738724,0.828523607,0.807626538,0.783548549,0.796682521,0.778365562,0.759049009,0.745416718,0.716278445,0.651003296,0.578558241,0.472882254,0.37232843,0.323483687,0.288949135,0.267862741,0.262421647,0.237299109,0.220534386,0.197560001,0.189252172,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Office_LightSched_GF,LightSched,Multiple,Fraction,,,,,0.259838041,0.246139765,0.244985267,0.253156997,0.253449857,0.235825887,0.251397477,0.247014244,0.250871446,0.269057089,0.3937844,0.502958372,0.666922226,0.787633452,0.914362902,0.981094762,0.95579804,0.932262985,0.902939442,0.917837623,0.915965382,0.92206368,0.968636745,0.978527201,1,0.9762599,0.954585277,0.952417858,0.944451387,0.982982619,0.973982122,0.928682803,0.88215268,0.878576743,0.861041661,0.872338981,0.882538615,0.861948259,0.841162307,0.751943374,0.691712827,0.582650503,0.553202431,0.521811264,0.461708156,0.383330615,0.323739893,0.274606453,0.240524916,0.22729468,0.244092327,0.232755482,0.230629661,0.249443443,0.256496784,0.235628214,0.235064114,0.237307457,0.23872293,0.246291273,0.290225268,0.275901305,0.302970274,0.345779204,0.351723147,0.359742546,0.382063673,0.384925959,0.411195787,0.413836089,0.411994929,0.400023471,0.399439225,0.400222697,0.401698237,0.405827136,0.384124952,0.389755506,0.404179232,0.373717827,0.355298393,0.338017604,0.33827615,0.336458494,0.322097446,0.307945324,0.304443202,0.308788862,0.307569257,0.307130513,0.308626945,0.276201636,0.308205723,0.260178868,0.255741803,0.249246817
Office_LightSched_1,LightSched,Multiple,Fraction,,,,,0.054622907,0.048400115,0.054517504,0.055159834,0.05449049,0.054594944,0.05643969,0.057357441,0.055180484,0.093506302,0.413960265,0.60597115,0.79990542,0.936778023,0.925810398,0.94893786,0.962790565,0.967492777,0.973465841,0.981213208,0.978723131,0.988197498,0.994561362,0.994703035,0.993945687,0.992479895,0.992780649,0.996005791,0.999869133,0.999465726,0.998642104,1,0.994582821,0.992276439,0.985229624,0.973748135,0.96498424,0.933912903,0.911257883,0.876363786,0.820446305,0.726067097,0.651963889,0.58212767,0.449747345,0.276144903,0.139403167,0.088788206,0.036598805,0.036590043,0.038272383,0.037694078,0.037510072,0.037807987,0.038373148,0.037803606,0.037308542,0.03974443,0.044681922,0.076795336,0.114503405,0.112672108,0.113539565,0.114704936,0.121881166,0.143262153,0.156750079,0.155260507,0.177805613,0.198793971,0.223030178,0.233089169,0.241879311,0.247276817,0.251307423,0.257896588,0.251622862,0.247601018,0.233283606,0.231513644,0.233406276,0.223259664,0.211185371,0.196736526,0.184197837,0.166761086,0.161337292,0.143663962,0.130187719,0.122923867,0.110218696,0.107073071,0.104370361,0.081027896,0.039197217,0.02766618
Office_LightSched_2,LightSched,Multiple,Fraction,,,,,0.082608466,0.073774629,0.079651077,0.078539527,0.077653788,0.077885638,0.077934544,0.077597637,0.07616669,0.117272925,0.474930137,0.630584636,0.852633899,0.980421146,0.982275944,0.9782868,0.975156828,0.971716516,0.976815761,0.992455443,0.985739046,0.988623358,0.991510612,0.994929188,0.992540653,0.998098808,0.994749062,1,0.995434251,0.995021268,0.990130688,0.987940191,0.987326151,0.983489762,0.976143225,0.97585462,0.971924042,0.94907839,0.932234264,0.865370972,0.820808726,0.765952111,0.69295929,0.631290881,0.515653756,0.376750401,0.240987885,0.148156213,0.062827671,0.059474401,0.061336839,0.056450142,0.055282447,0.055305947,0.057457152,0.052543135,0.055363231,0.053204095,0.062827671,0.085071174,0.130338993,0.133788323,0.13882043,0.148664326,0.144954138,0.168198523,0.206119994,0.214280645,0.223278512,0.244244159,0.258926281,0.263438434,0.2778952,0.288867134,0.286487678,0.291528599,0.29398737,0.292189559,0.280503788,0.251060229,0.244388941,0.234448104,0.221140779,0.212944877,0.184602917,0.178002132,0.172626325,0.156023013,0.14250418,0.140997192,0.135409877,0.108777601,0.081135643,0.05423017,0.049409569,0.052617428
Office_LightSched_3,LightSched,Multiple,Fraction,,,,,0.100174462,0.089777045,0.097267895,0.096316951,0.09489512,0.093205521,0.095718141,0.090514083,0.091036781,0.118567852,0.396061057,0.638301928,0.821454963,0.989383263,1,0.978227781,0.96735428,0.977322229,0.975317788,0.983015783,0.974398138,0.975930219,0.979797728,0.98104716,0.984735088,0.987903373,0.988375636,0.987274484,0.981646307,0.983192241,0.986305506,0.984026724,0.985287619,0.989288096,0.984127596,0.977551837,0.976912219,0.969064103,0.966248868,0.952417995,0.939624877,0.906482135,0.872868506,0.774777746,0.616307885,0.430053048,0.276031733,0.161530538,0.0723648,0.068494337,0.066704109,0.065889861,0.069414548,0.066737571,0.069738016,0.050909943,0.059755122,0.055137336,0.062688643,0.084221578,0.132786408,0.135781276,0.140750415,0.137158804,0.133762389,0.141692934,0.13966847,0.140276367,0.147979369,0.163388719,0.167447686,0.194524196,0.198472737,0.195366328,0.19031911,0.193643024,0.190793158,0.189956603,0.196258654,0.194507464,0.189410054,0.181033346,0.181144886,0.182260293,0.182817997,0.176499215,0.171965085,0.165668612,0.159427908,0.150270415,0.141107345,0.118854972,0.119143598,0.095664277,0.077951611,0.065994446
Office_EquipSched_B,EquipSched,Multiple,Fraction,,,,,0.181468152,0.181311419,0.183496618,0.184117608,0.186873815,0.180454935,0.183877188,0.180204737,0.187860229,0.228767168,0.441950479,0.617687735,0.745062336,0.764189802,0.796934909,0.964626948,1,0.929926029,0.924530949,0.843392698,0.841817024,0.855992144,0.84501793,0.83291974,0.833239247,0.816468565,0.837645069,0.830738724,0.828523607,0.807626538,0.783548549,0.796682521,0.778365562,0.759049009,0.745416718,0.716278445,0.651003296,0.578558241,0.472882254,0.37232843,0.323483687,0.288949135,0.267862741,0.262421647,0.237299109,0.220534386,0.197560001,0.189252172,0.174660297,0.178154819,0.16447523,0.188695518,0.159896322,0.186756449,0.172603462,0.176720631,0.172705604,0.177579978,0.174652135,0.196861062,0.230651932,0.236178803,0.219857043,0.247461083,0.240027791,0.266415352,0.278497512,0.262504566,0.265173555,0.270674191,0.277859123,0.264690828,0.266906574,0.265710251,0.265252011,0.273196013,0.257899756,0.258351001,0.268416552,0.253127874,0.26115583,0.251693686,0.25832943,0.248818314,0.249997147,0.250525348,0.23249189,0.228308259,0.213014917,0.219536392,0.219283368,0.206234589,0.194281517,0.197371434,0.184965125,0.19014919
Office_EquipSched_GF,EquipSched,Multiple,Fraction,,,,,0.134358758,0.130108612,0.128503373,0.132978239,0.132051657,0.127444514,0.131539835,0.130558281,0.12886198,0.144333865,0.191994122,0.239774095,0.304897154,0.365611485,0.386214359,0.411599492,0.436859865,0.516875721,0.617212987,0.82194188,0.995995647,0.983750238,1,0.954317808,0.91997272,0.873851684,0.860397774,0.847135139,0.840389077,0.855870731,0.865336795,0.827317341,0.804239537,0.712057113,0.652708841,0.594138211,0.468497733,0.44494268,0.441576384,0.407528619,0.368226606,0.326793131,0.300297924,0.292855847,0.246738133,0.204492208,0.15505448,0.143773367,0.113604084,0.116597086,0.120078257,0.115518742,0.115350534,0.119158979,0.114397966,0.114787404,0.116652317,0.118072942,0.117239216,0.121367621,0.130604426,0.13117487,0.143627736,0.154800759,0.163357419,0.169593907,0.194534377,0.202487683,0.225969132,0.22494343,0.205866467,0.210609196,0.21183236,0.207954438,0.223138853,0.23139932,0.220802226,0.229397281,0.231721109,0.227627442,0.210442817,0.186233686,0.175589054,0.173616269,0.166205982,0.162980779,0.164397748,0.16608714,0.158501331,0.159660503,0.154603297,0.149597286,0.14835112,0.142915447,0.120808914,0.125334071
