Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING:Zone Operative Temperature [C](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 02/06  16:00:00,11.0333333333333,74.1333333333333,16.831216210924,15.874257164279,1.4914093026154,1.28445087953496,2.40697234074224,,55.3226835354947,,,,,50.7562438674288,,,,54.2145804833998,,61.1989326424294,,5.565964504352692E-002,5.512719555965132E-002,5.731359052346811E-002 
 02/06  17:00:00,10.7,76.6,16.5068396523791,15.5649941839383,1.32653715582284,1.14514582162015,2.13273441162891,,56.5573860664731,,,,,52.3365343389516,,,,55.937132544588,,62.671896650151,,5.507754809444171E-002,5.444866457132244E-002,5.679408802028690E-002 
 02/06  18:00:00,10.5333333333333,78.1,19.4274231273919,17.7046525561377,1.30230247595538,1.13979313639912,2.05552818040122,,43.5766994867142,,,,,38.703189207834,,,,44.4733490809484,,54.4405480179947,,5.470882928986415E-002,5.408789612389980E-002,5.656205299909105E-002 
 02/06  19:00:00,10.4333333333333,78.4333333333333,20.4487622938385,19.1729857579463,1.00847789032481,1.1478524490464,2.09009046494919,,39.5727303404074,,,,,37.4018644006564,,,,40.5581029143169,,51.2189227022016,,5.401781652283155E-002,5.403445886361594E-002,5.652992699312437E-002 
 02/06  20:00:00,10.4666666666667,77.6,20.6341105421,20.070878549338,0.749260821470173,1.00324057963352,1.80712781083236,,37.5437006218403,,,,,37.3479195125596,,,,38.1179988396268,,48.6781115868021,,5.252110720613109E-002,5.370271567290771E-002,5.619933238790529E-002 
 02/06  21:00:00,10.4333333333333,78.,20.7429474624283,20.5616434063721,0.511993259784662,1.11200411618415,1.93201003118095,,37.2782239846802,,,,,37.2416898771212,,,,37.2154277634887,,46.884302908019,,5.095224766664051E-002,5.331388336904520E-002,5.590641628234785E-002 
 02/06  22:00:00,10.3333333333333,77.5333333333333,19.0344078732351,18.7016688700802,0.334648427950646,1.02563614813483,1.76308655694083,,46.0423118933101,,,,,44.6624340040364,,,,45.6471265145725,,53.8036516136168,,4.951642126834382E-002,5.341628078145721E-002,5.596903423483566E-002 
 02/06  23:00:00,10.1666666666667,76.9666666666667,18.048869715645,17.5738998465881,0.336640002145849,1.01799659634854,1.76488003953431,,49.3072341529987,,,,,47.4330231202976,,,,48.6968446608523,,55.5473937562204,,4.821200027168773E-002,5.304505916607472E-002,5.563925961159774E-002 
 02/06  24:00:00,7.43333333333333,76.3,17.6030046157061,17.1153482431331,0.399527756357853,0.336007195800812,0.302659180172336,,48.7651840405621,,,,,46.8742545364058,,,,48.4452613982252,,53.8802176868646,,4.849554663792438E-002,5.109793156003310E-002,5.206714256624912E-002 
 02/07  01:00:00,8.03333333333333,77.7333333333333,17.336431892666,16.8107496911842,0.33017860886145,0.397644322508183,0.472428577892445,,46.8528721495583,,,,,45.5998542780128,,,,48.7430068033116,,53.2397139425433,,4.871206459038238E-002,4.939127243070255E-002,4.819816089792248E-002 
 02/07  02:00:00,8.93333333333334,77.6,17.038669672229,16.2946514610718,0.318155454727278,1.10047912944703,1.89292180354162,,46.9305186903329,,,,,46.4786158218558,,,,49.3924272728213,,54.3778088039709,,4.888203024596657E-002,5.034179894807188E-002,5.272751602613231E-002 
 02/07  03:00:00,8.96666666666667,75.5,16.6779477161519,15.8005863666339,0.338900697853733,1.50724726067749,2.61614212700396,,48.2966547110509,,,,,47.0862030779024,,,,49.5699553162412,,54.3042809311911,,4.850411741534193E-002,5.402616971762750E-002,5.694773779566344E-002 
 02/07  04:00:00,8.8,77.1,16.3718590108325,15.4077989554117,0.414692460136764,1.60408235872927,2.76857357197389,,48.8151250417603,,,,,47.4078126927096,,,,50.4702306100033,,55.0881195386328,,5.097550933327385E-002,5.568551986358013E-002,5.759692220149496E-002 
 02/07  05:00:00,8.7,78.3,16.1776564854253,15.1512677935345,0.348833955646792,1.22237141268793,2.08257980521178,,49.1451440188811,,,,,48.255292793997,,,,51.7987105819091,,56.2855252661593,,5.220007450984974E-002,5.523535316774938E-002,5.705324222906030E-002 
 02/07  06:00:00,8.63333333333333,77.3,15.9586363639956,14.8822083297706,0.396215507706548,1.50919617050855,2.59871425384924,,49.924245175116,,,,,48.8878779252838,,,,52.3740283863974,,56.5547272591296,,5.183453721531053E-002,5.475900311272597E-002,5.684242463998247E-002 
 02/07  07:00:00,8.66666666666667,76.9333333333333,18.780308364647,16.8577713237873,0.507921985090147,1.89021588927477,3.23585523873827,,38.4234859925437,,,,,35.9812055198648,,,,41.7068714386764,,48.4100339368554,,5.274159478186454E-002,5.588824911155893E-002,5.781549458488646E-002 
 02/07  08:00:00,8.7,78.7333333333333,20.3458668679517,18.131142396288,0.511015853593752,2.01984323659554,3.53061842855042,,35.1703850276773,,,,,33.2608518714854,,,,39.1781354880485,,46.9969498489794,,5.337044428135618E-002,5.665903759342104E-002,5.828947540543880E-002 
