Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/01  01:00:00,3.28333333333333,89.6416666666667,15.7031300975596,14.3637635744967,0.7593063884425,1.674754758454707E-002,0.170137062570864,,,,,54.3298361467693,,,,,49.98241569224,,43.8840477703373,,45.898953358179,5.176155040479196E-002,4.587248391151072E-002,4.950642609795331E-002 
 01/01  02:00:00,4.25833333333333,91.0333333333333,15.3858475182996,14.0167933806057,0.647406455302807,9.045596767101251E-002,0.234684586738969,,,,,55.1890276099531,,,,,53.1999797884718,,43.1479370470774,,46.6537781964075,5.169442672135066E-002,4.632125869897557E-002,4.910533556163967E-002 
 01/01  03:00:00,4.35833333333333,91.7583333333333,15.1010842670655,13.6903593650398,0.840250948701709,1.481323691023578E-002,0.191526969869203,,,,,57.0803271357114,,,,,56.8557854678205,,43.6470833542342,,48.2374829289176,5.187378914488910E-002,4.638296119622452E-002,4.882744246876659E-002 
 01/01  04:00:00,4.80833333333333,90.1083333333333,14.8014674443183,13.4195079473986,1.02725059465957,0.0,0.118678928421019,,,,,59.6612640508108,,,,,59.6089398294435,,44.8637321079304,,49.6089773507529,5.327190478862378E-002,4.738752082674860E-002,4.893150720097805E-002 
 01/01  05:00:00,5.15833333333333,88.9,14.5079823253068,13.173344828477,1.20547586548253,0.0,4.534085302773017E-002,,,,,62.0493775106611,,,,,61.7315059409295,,46.4100724501499,,50.9760096059851,5.402490828926208E-002,4.839154110623094E-002,4.894644384485904E-002 
 01/01  06:00:00,5.2,88.9,14.2417607868313,12.9247987252044,1.21999960860696,0.0,0.0,,,,,63.7384319406077,,,,,63.2997725454379,,47.86492282574,,52.3952340509091,5.442491245717376E-002,4.911668905859776E-002,4.907623481948414E-002 
 01/01  07:00:00,5.31666666666667,89.8333333333333,17.0956146139635,16.5387480177666,1.21433688041794,0.0,2.367693451730360E-002,,,,,55.8518870301851,,,,,46.1643475713273,,36.2328642501938,,36.9747644466963,5.419730408668275E-002,4.872412881951408E-002,4.942843242429221E-002 
 01/01  08:00:00,5.34166666666667,92.3083333333333,18.8111103919493,18.3176290098634,1.26090066722923,0.0,0.156860319145861,,,,,57.6767469088393,,,,,67.0637947916009,,33.0485693198682,,33.5901338312124,5.322381939746249E-002,4.773109131658202E-002,4.992020751931273E-002 
 01/01  09:00:00,5.24166666666667,94.475,16.6245711824607,15.7112188267708,0.999506439693491,0.0,0.101644500645888,,,,,65.7917163504687,,,,,97.1890703085316,,45.8081115833141,,49.8969626305807,5.264475129196480E-002,4.830205316393790E-002,5.037126878311646E-002 
 01/01  10:00:00,5.43333333333333,95.2166666666667,15.522109413724,15.059163245933,0.947524653156293,0.0,0.115877371917545,,,,,65.7183284226946,,,,,78.9696989896658,,53.1121933128065,,55.2867103874818,5.317048852743188E-002,4.865686393192323E-002,5.009821633292130E-002 
 01/01  11:00:00,5.89166666666667,95.3,14.9659417964237,14.789997742561,1.06295168621962,0.0,2.057681812652912E-002,,,,,66.9889291557061,,,,,69.3166230336937,,55.0741891615915,,56.1280307226509,5.329568834710097E-002,4.835459765457997E-002,4.967280464817037E-002 
