Name,Purpose,Permeability,htc_in,htc_out,vtc_in,vtc_out,Material,Thickness,U-Value
0.45.SOLID_BRICK_EX_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.065,0.445152014
,,,,,,,Brick,0.25,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.6.SYST,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.60652623
,,,,,,,AirGap,0.032,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.6.STONE_GRAN,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.3,0.614897946
,,,,,,,AirGap,0.03,
,,,,,,,Stone,0.3,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.60_External_Wall_Flood2,External_Wall,11.5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,1.609208221
,,,,,,,Brick,0.125,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.6.SOLID_BRICK_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.3,0.586593882
,,,,,,,CelluloseIns,0.04,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
2.1.SOLID_BRICK,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.165,2.084388752
,,,,,,,Gypsum,0.01,
,,,,,,,,,
2.4.STONE_GRAN,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.5,2.390466534
,,,,,,,Gypsum,0.017,
,,,,,,,,,
0.35.STONE_SAND,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,AirGap,0.058,0.39389293
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.55.SOLID_BRICK_EX_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.0475,0.552814938
,,,,,,,Brick,0.25,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.60_External_Wall,External_Wall,11.5,8.29,29.3,0.00000002,6.25E-08,Brick,0.1025,0.16246356
,,,,,,,AirGap,0.14,
,,,,,,,Brick,0.1025,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.45.CAVITY,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.125,0.448213106
,,,,,,,AirGap,0.04,
,,,,,,,Brick,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.25.SYST_INS,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.250877636
,,,,,,,GlassFiber,0.145,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.SOLID_BRICK_EX_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.11,0.296610605
,,,,,,,Brick,0.25,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.STONE_SAND,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.5,1.013274081
,,,,,,,GlassFiber,0.017,
,,,,,,,Stone,0.5,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.45.SOLID_BRICK_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.25,0.445152014
,,,,,,,CelluloseIns,0.065,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
