Name,Purpose,Permeability,htc_in,htc_out,vtc_in,vtc_out,Material,Thickness,U-Value
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.4.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.41025641
,,,,,,,GlassFiber,0.065,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
1.20_Ground_Floor,Ground_Floor,,0,0,0,0,Concrete,0.4,1.6
,,,,,,,Gypsum,0.075,
,,,,,,,,,
0.2.FLOOR,Ground_Floor,,0,0,0,0,Concrete,0.5,0.207792208
,,,,,,,GlassFiber,0.16,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
0.45_Ground_Floor,Ground_Floor,,0,0,0,0,Concrete,0.5,0.516129032
,,,,,,,GlassFiber,0.045,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
Solid_Concrete_Roof,Internal_Ceiling,,8.29,8.29,0,0,Concrete,0.1,3.292132043
,,,,,,,,,
Suspended_Wooden_Ceiling1,Internal_Ceiling,,0,0,0,0,Carpet,0.01,0.203770645
,,,,,,,Spruce,0.05,
,,,,,,,AirGap,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
Suspended_Wooden_Ceiling,Internal_Ceiling,,0,0,0,0,Spruce,0.05,0.215996697
,,,,,,,AirGap,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
Suspended_Wooden_Floor1,Internal_Floor,,0,0,0,0,Gypsum,0.01,0.203770645
,,,,,,,AirGap,0.1,
,,,,,,,Spruce,0.05,
,,,,,,,Carpet,0.01,
,,,,,,,,,
Solid_Concrete_Floor,Internal_Floor,,8.29,8.29,0,0,Concrete,0.1,3.292132043
,,,,,,,,,
Suspended_Wooden_Floor,Internal_Floor,,0,0,0,0,Gypsum,0.01,0.215996697
,,,,,,,AirGap,0.1,
,,,,,,,Spruce,0.05,
,,,,,,,,,
Single_Brick_Internal_Wall_Flood2,Internal_Wall,20,8.29,8.29,0.00000002,0.00000002,Gypsum,0.01,1.968809373
,,,,,,,Brick,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
Single_Brick_Internal_Wall,Internal_Wall,20,8.29,8.29,0.00000002,0.00000002,Gypsum,0.01,1.968809373
,,,,,,,Brick,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
Cavity_Plaster_Internal,Internal_Wall,20,8.29,8.29,0.00000002,0.00000002,Gypsum,0.01,0.229074114
,,,,,,,AirGap,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
Single_Brick_Internal_Wall_Flood,Internal_Wall,20,8.29,8.29,0.00000002,0.00000002,Gypsum,0.01,1.968809373
,,,,,,,Brick,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.29_Loft_Ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.135,0.287769784
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.35.PITCH_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.015,0.347719614
,,,,,,,AirGap,0.06,
,,,,,,,Spruce,0.0125,
,,,,,,,Concrete,0.01,
,,,,,,,,,
0.4.FLAT_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.02,0.405669663
,,,,,,,AirGap,0.052,
,,,,,,,Concrete,0.05,
,,,,,,,,,
0.4.PITCH_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.015,0.404291008
,,,,,,,AirGap,0.05,
,,,,,,,Spruce,0.0125,
,,,,,,,Concrete,0.01,
,,,,,,,,,
0.35.FLAT_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.02,0.358809856
,,,,,,,AirGap,0.06,
,,,,,,,Concrete,0.05,
,,,,,,,,,
2.30_Loft_Ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.013,2.352941177
,,,,,,,Gypsum,0.02,
,,,,,,,,,
2.3.FLAT_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.02,2.310180035
,,,,,,,AirGap,0.0015,
,,,,,,,Concrete,0.05,
,,,,,,,,,
1.5.PITCH_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.015,1.509204664
,,,,,,,AirGap,0.005,
,,,,,,,Spruce,0.0125,
,,,,,,,Concrete,0.01,
,,,,,,,,,
0.29_Plaster_ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.135,0.287769784
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.3.FLAT_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.02,0.294931904
,,,,,,,AirGap,0.075,
,,,,,,,Concrete,0.05,
,,,,,,,,,
20_Suspended_Plaster_Ceiling,Loft_Ceiling,,0,0,0,0,Gypsum,0.01,20
,,,,,,,,,
0.40_Plaster_ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.095,0.404040404
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.50_Plaster_ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.075,0.506329114
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.15_Loft_Ceiling,Loft_Ceiling,,0,0,0,0,Gypsum,0.02,0.149253731
,,,,,,,GlassFiber,0.26,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.2.PITCH_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.02,0.203543581
,,,,,,,AirGap,0.11,
,,,,,,,Spruce,0.0125,
,,,,,,,Concrete,0.01,
,,,,,,,,,
0.40_Insulated_10_Plaster,Loft_Ceiling,,0,0,0,0,GlassFiber,0.1,0.384615385
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.60_Plaster_ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.06,0.625
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.68.FLAT_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.02,0.676066532
,,,,,,,AirGap,0.0275,
,,,,,,,Concrete,0.05,
,,,,,,,,,
0.20_Insulated_20_Plaster,Loft_Ceiling,,0,0,0,0,GlassFiber,0.2,0.196078431
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.40_Loft_Ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.095,0.404040404
,,,,,,,Gypsum,0.02,
,,,,,,,,,
2.10_Insulated_20_Plaster_ceil,Loft_Ceiling,,0,0,0,0,GlassFiber,0.015,2.105263158
,,,,,,,Gypsum,0.02,
,,,,,,,,,
1.5.FLAT_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.02,1.528596998
,,,,,,,AirGap,0.007,
,,,,,,,Concrete,0.05,
,,,,,,,,,
0.68.PITCH_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.015,0.681463683
,,,,,,,AirGap,0.025,
,,,,,,,Spruce,0.0125,
,,,,,,,Concrete,0.01,
,,,,,,,,,
1.50_Loft_Ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.02,1.666666667
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.45_Plaster_ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.085,0.449438202
,,,,,,,Gypsum,0.02,
,,,,,,,,,
2.3.PITCH_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.01,2.270572513
,,,,,,,AirGap,0.0001,
,,,,,,,Spruce,0.0125,
,,,,,,,Concrete,0.01,
,,,,,,,,,
0.3.PITCH_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.015,0.305036629
,,,,,,,AirGap,0.07,
,,,,,,,Spruce,0.0125,
,,,,,,,Concrete,0.01,
,,,,,,,,,
0.15_Plaster_ceiling,Loft_Ceiling,,0,0,0,0,Gypsum,0.02,0.149253731
,,,,,,,GlassFiber,0.26,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
1.60_Plaster_ceiling,Loft_Ceiling,,0,0,0,0,GlassFiber,0.021,1.6
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.25.FLAT_LOFTCEILING,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.02,0.250360839
,,,,,,,AirGap,0.09,
,,,,,,,Concrete,0.05,
,,,,,,,,,
0.15_Loft_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.149253731
,,,,,,,GlassFiber,0.26,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
1.5.PITCH_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.01,1.509204664
,,,,,,,Spruce,0.0125,
,,,,,,,AirGap,0.005,
,,,,,,,Gypsum,0.015,
,,,,,,,,,
1.50_Loft_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,1.666666667
,,,,,,,GlassFiber,0.02,
,,,,,,,,,
0.3.PITCH_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.01,0.305036629
,,,,,,,Spruce,0.0125,
,,,,,,,AirGap,0.07,
,,,,,,,Gypsum,0.015,
,,,,,,,,,
0.29_Loft_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.287769784
,,,,,,,GlassFiber,0.135,
,,,,,,,,,
0.3.FLAT_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.05,0.294931904
,,,,,,,AirGap,0.075,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.4.PITCH_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.01,0.404291008
,,,,,,,Spruce,0.0125,
,,,,,,,AirGap,0.05,
,,,,,,,Gypsum,0.015,
,,,,,,,,,
0.20_Insulated_20_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.196078431
,,,,,,,GlassFiber,0.2,
,,,,,,,,,
0.35.PITCH_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.01,0.347719614
,,,,,,,Spruce,0.0125,
,,,,,,,AirGap,0.06,
,,,,,,,Gypsum,0.015,
,,,,,,,,,
0.15_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.149253731
,,,,,,,GlassFiber,0.26,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.50_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.506329114
,,,,,,,GlassFiber,0.075,
,,,,,,,,,
2.3.PITCH_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.01,2.270572513
,,,,,,,Spruce,0.0125,
,,,,,,,AirGap,0.0001,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.60_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.625
,,,,,,,GlassFiber,0.06,
,,,,,,,,,
0.68.PITCH_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.01,0.681463683
,,,,,,,Spruce,0.0125,
,,,,,,,AirGap,0.025,
,,,,,,,Gypsum,0.015,
,,,,,,,,,
2.3.FLAT_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.05,2.310180035
,,,,,,,AirGap,0.0015,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
1.60_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,1.6
,,,,,,,GlassFiber,0.021,
,,,,,,,,,
0.35.FLAT_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.05,0.358809856
,,,,,,,AirGap,0.06,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.68.FLAT_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.05,0.676066532
,,,,,,,AirGap,0.0275,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.40_Insulated_10_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.384615385
,,,,,,,GlassFiber,0.1,
,,,,,,,,,
0.2.PITCH_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.01,0.203543581
,,,,,,,Spruce,0.0125,
,,,,,,,AirGap,0.11,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.29_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.287769784
,,,,,,,GlassFiber,0.135,
,,,,,,,,,
0.45_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.449438202
,,,,,,,GlassFiber,0.085,
,,,,,,,,,
0.40_Loft_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.404040404
,,,,,,,GlassFiber,0.095,
,,,,,,,,,
1.5.FLAT_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.05,1.528596998
,,,,,,,AirGap,0.007,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
2.10_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,2.105263158
,,,,,,,GlassFiber,0.015,
,,,,,,,,,
0.4.FLAT_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.05,0.405669663
,,,,,,,AirGap,0.052,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
20_Suspended_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.01,20
,,,,,,,,,
2.30_Loft_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,2.352941177
,,,,,,,GlassFiber,0.013,
,,,,,,,,,
0.40_Plaster_Floor,Loft_Floor,,0,0,0,0,Gypsum,0.02,0.404040404
,,,,,,,GlassFiber,0.095,
,,,,,,,,,
0.25.FLAT_LOFTFLOOR,Loft_Floor,,8.29,8.29,0,0,Concrete,0.05,0.250360839
,,,,,,,AirGap,0.09,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
1.50_Concrete_Tiled_Roof,Roof,,8.29,29.3,0,0,Concrete,0.05,1.518505651
,,,,,,,AirGap,0.0105,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.40_Concrete_Tiled_Roof,Roof,,8.29,29.3,0,0,Concrete,0.1,0.400466796
,,,,,,,GlassFiber,0.055,
,,,,,,,AirGap,0.02,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.15_Concrete_Tiled_Roof,Roof,,8.29,29.3,0,0,Concrete,0.1,0.157573847
,,,,,,,GlassFiber,0.05,
,,,,,,,AirGap,0.12,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
3.10_Concrete_Tiled_Roof,Roof,,8.29,8.29,0,0,Concrete,0.05,2.684531158
,,,,,,,Gypsum,0.02,
,,,,,,,,,
2.30_Concrete_Tiled_Roof,Roof,,8.29,8.29,0,0,Concrete,0.05,2.061088266
,,,,,,,AirGap,0.0028,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
3.10_Roof,Roof,,8.29,8.29,0,0,Concrete,0.04,3.162010108
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.29_Concrete_Tiled_Roof,Roof,,8.29,29.3,0,0,Concrete,0.1,0.289952018
,,,,,,,GlassFiber,0.05,
,,,,,,,AirGap,0.048,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.40_Roof,Roof,,8.29,29.3,0,0,Concrete,0.1,0.400466796
,,,,,,,GlassFiber,0.055,
,,,,,,,AirGap,0.02,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
2.30_Roof,Roof,12.98,8.29,8.29,0,0,Concrete,0.05,2.061088266
,,,,,,,AirGap,0.0028,
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.15_Roof,Roof,,8.29,29.3,0,0,Concrete,0.1,0.157573847
,,,,,,,GlassFiber,0.05,
,,,,,,,AirGap,0.12,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.50_Roof,Roof,,8.29,29.3,0,0,Concrete,0.05,1.518505651
,,,,,,,AirGap,0.0105,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.29_Roof,Roof,,8.29,29.3,0,0,Concrete,0.1,0.289952018
,,,,,,,GlassFiber,0.05,
,,,,,,,AirGap,0.048,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
3.10_Window,Window,,8.29,29.3,0,0,Glass,0.01,2.644198592
,,,,,,,Gas,0.005,
,,,,,,,Glass,0.01,
,,,,,,,,,
4.80_Window,Window,,8.29,29.3,0,0,Glass,0.04,5.020045064
,,,,,,,,,
3.10_Double_Pane_Window,Window,,8.29,29.3,0,0,Glass,0.01,2.644198592
,,,,,,,Gas,0.005,
,,,,,,,Glass,0.01,
,,,,,,,,,
Triple_Pane_Window,Window,,8.29,29.3,0.00000002,6.25E-08,Glass,0.006,2.402658416
,,,,,,,Gas,0.003,
,,,,,,,Glass,0.006,
,,,,,,,Gas,0.003,
,,,,,,,Glass,0.006,
,,,,,,,,,
4.8.SINGLE,Window,,8.29,29.3,0,0,Glass,0.047,4.83140389
,,,,,,,,,
2.DOUB_POST_2002,Window,,8.29,29.3,0,0,Glass,0.01,2.004366447
,,,,,,,Gas,0.008,
,,,,,,,Glass,0.01,
,,,,,,,,,
0.80_Window,Window,,8.29,29.3,0,0,Glass_2050,0.015,0.681135234
,,,,,,,Gas,0.007,
,,,,,,,Glass_2050,0.015,
,,,,,,,Gas,0.007,
,,,,,,,Glass_2050,0.015,
,,,,,,,,,
4.80_Single_Pane_Window,Window,,8.29,29.3,0,0,Glass,0.04,5.020045064
,,,,,,,,,
2.00_Window,Window,,8.29,29.3,0,0,Glass,0.006,1.354761623
,,,,,,,Gas,0.007,
,,,,,,,Glass,0.006,
,,,,,,,Gas,0.007,
,,,,,,,Glass,0.006,
,,,,,,,,,
2_Double_Pane_Window,Window,,8.29,29.3,0,0,Glass,0.006,1.354761623
,,,,,,,Gas,0.007,105
,,,,,,,Glass,0.006,
,,,,,,,Gas,0.007,
,,,,,,,Glass,0.006,
,,,,,,,,,
1.8.TRIPLE,Window,,8.29,29.3,0,0,Glass,0.01,1.788035733
,,,,,,,Gas,0.0095,
,,,,,,,Glass,0.01,
,,,,,,,,,
3.1.DOUB_PRE_2002,Window,,8.29,29.3,0,0,Glass,0.01,3.031252071
,,,,,,,Gas,0.0038,
,,,,,,,Glass,0.01,
,,,,,,,,,
Curtains,Window_Shade,,0,0,0,0,Drapes,0.004,25
Shutters,Window_Blind,,0,0,0,0,External_Blind,0.001,25
