aacode,dwell_weight,hhld_weight,GOR_EHS,rumorph,Tenure4x,dwtypenx,dwage9x,wallcavx,sap09,hhtype6,hhsizex,agehrpx,agepartx,ageoldx,Uglazing,Uroof,Uextwall,Ugndfloor,Permeability,floorx,efwalar,ebwalar,efwinar,ebwinar,finlivcl,,,,min,mean,max,sd
H0123103,881,890,10,1,4,7,9,1,69.37,3,2,29,0,29,2.758007117,2.3,0.6,1.101492533,15.1019,61.83,251.14,171.39,43.78,57.13,2.3,,,,,,,
H0123202,859,859,10,1,2,6,3,1,54.32,5,1,22,0,22,2.758007117,2.3,1.6,0.5948525,9.5993,76.63,130.23,34.39,41.07,22.93,2.4,,,,,,,
H0123203,1188,1188,10,1,2,1,9,1,73.01,4,2,22,0,29,2.758007117,0.137745171,0.6,0.775439533,16.2495,65.05,56.76,34.34,10.55,3.82,2.4,,,,,,,
H0123205,854,854,10,1,2,6,3,1,46.42,5,1,47,0,47,4.026845638,2.3,1.6,0,15.1057,29.95,370.5,295.62,0,74.88,88.8,,,,,,,
H0123206,769,777,10,1,3,7,8,1,77.87,6,1,84,0,84,2.758007117,2.3,0.6,0,14.1665,30.51,631.08,602.82,157.77,150.7,2.4,,,,,,,
H0124101,1621,1645,10,1,1,6,4,1,49.82,5,1,42,0,42,2.758007117,0.21575985,1.6,0,9.3034,51.09,77.84,51.78,7.77,5.75,2.5,,,,,,,
H0124104,1121,1138,10,1,1,6,3,1,56.01,4,4,29,0,29,2.758007117,2.3,1.6,0.831795492,8.6548,48.33,83.05,80.19,6.05,8.91,2.5,,,,,,,
H0124106,872,872,10,1,2,4,4,1,57.2,4,5,21,0,22,2.758007117,0.44212914,1.6,0.809501097,16.6336,117.62,77.43,88.91,7.49,15.16,2.6,,,,,,,
H0124107,680,680,10,1,4,3,9,1,60.96,2,5,56,42,56,2.758007117,0.394511149,0.6,0.713451212,16.2609,81.47,77.61,33.38,6.24,6.24,2.3,,,,,,,
H0124201,1276,1276,10,1,2,4,7,1,55.74,3,3,39,0,39,2.758007117,0.394511149,1,0.741879915,15.637,126.9,86.29,92.12,14.28,8.45,2.5,,,,,,,
H0124202,957,958,10,1,1,4,4,1,51.31,1,4,69,66,69,2.758007117,0.21575985,1.6,0.898857642,18.0224,91.58,69.88,78.67,6.8,13.38,2.5,,,,,,,
H0124203,1394,1394,10,1,4,3,8,1,54.44,1,4,49,46,49,2.758007117,0.394511149,0.6,0.694091034,13.2207,76.08,79.53,21.63,5.41,5.41,2.4,,,,,,,
H0124304,1328,1330,10,1,1,5,5,1,26.46,1,2,71,71,71,2.758007117,0.175908222,1.6,0.753080998,10.9123,63.38,56.57,48.82,6.7,9.14,2.5,,,,,,,
H0124401,1211,1213,10,1,1,1,8,1,57.4,2,3,25,23,25,2.758007117,0.394511149,0.6,0.751363198,13.5117,58.49,69.22,16.64,4.16,4.16,2.4,,,,,,,
H0124402,812,812,10,1,4,3,4,1,55.14,2,4,39,37,39,2.758007117,0.497566252,1.6,0.78546671,16.814,84.16,76.41,32.96,8.24,8.24,2.5,,,,,,,
H0131101,1340,1407,9,1,2,1,4,1,4.79,2,4,31,30,31,2.758007117,2.3,1.6,0.783463425,15.2402,64.16,19.69,71.02,0.72,12.72,2.4,,,,,,,
H0131102,1966,1966,9,1,1,6,3,1,48,6,1,67,0,67,2.758007117,0.278956944,1.6,0,16.8422,59.95,93.19,32.44,7.21,3.6,2.4,,,,,,,
H0131104,752,752,9,1,3,7,5,1,69.06,6,1,61,0,61,2.758007117,2.3,1.6,0.723178661,8.4225,41.03,76.82,30.19,7.55,7.55,2.3,,,,,,,
H0131109,989,1038,9,4,2,4,1,2,15.2,4,2,44,0,69,4.026845638,0.394511149,2.1,0.764459775,22.58,150.03,107.52,99,8.53,17.05,2.5,,,,,,,
H0131110,749,749,9,3,3,2,5,1,65.6,2,4,44,40,44,2.758007117,0.394511149,1.6,0.590518465,19.0213,95.64,38.76,43.6,9.69,4.84,2.3,,,,,,,
H0131113,989,1038,9,2,2,4,9,1,60.54,2,3,32,35,35,2.758007117,0.278956944,0.6,0.790948359,17.0953,121.49,99.71,112.99,14.22,7.8,2.4,,,,,,,
H0131117,1718,1720,9,4,1,4,6,1,40.54,1,2,64,60,64,2.758007117,0.394511149,1.6,0.708977292,16.8113,216.22,163.73,119.28,18.19,31.79,2.4,,,,,,,
H0131202,2028,2031,9,2,1,3,5,1,56.88,2,6,41,52,52,2.758007117,0.497566252,1.6,0.775035356,19.0529,111.8,61.86,60.59,11.58,12.04,2.3,,,,,,,
H0131207,1897,1900,9,1,1,4,2,1,52.76,1,2,61,59,61,2.758007117,0.497566252,2.1,0.800466794,27.3672,189.99,116.41,104.31,12.48,17.97,2.7,,,,,,,
H0131211,1982,1985,9,1,1,4,5,1,44.75,1,2,80,79,80,2.758007117,0.394511149,1.6,0.927853953,22.895,112.43,56.48,51.37,4.57,9.68,2.5,,,,,,,
H0131213,2223,2226,9,1,1,2,6,1,16.52,2,5,44,42,44,2.758007117,0.497566252,1.6,0.605968878,15.3876,80.48,19.99,50.44,5,5,2.3,,,,,,,
H0131214,756,756,9,1,4,7,7,1,81.03,6,1,60,0,60,2.758007117,0.175908222,1,0,9.3174,24.48,151.47,123.93,16.83,44.37,2.3,,,,,,,
H0131215,1990,1993,9,1,1,4,6,1,54.53,4,2,59,0,84,2.758007117,0.497566252,1.6,0.669573571,24.9824,168.24,63.77,79.31,7.09,4.14,2.4,,,,,,,
H0131408,2460,2464,9,2,1,4,8,1,65.96,1,2,62,61,62,2.758007117,0.21575985,0.6,0.823103926,11.506,100.16,110.12,72.83,16.05,12.34,2.3,,,,,,,
H0132105,2013,2013,9,1,2,6,1,1,44.08,5,1,51,0,51,2.758007117,2.3,2.1,0.832395704,12.5825,70.51,100.04,136.63,27.2,34.16,2.9,,,,,,,
H0132106,1208,1208,9,1,3,7,6,1,12.96,6,1,77,0,77,2.758007117,1.456064827,1.6,0,12.9943,46.78,824.87,434.83,241.03,143.51,2.3,,,,,,,
H0132114,1674,1674,9,1,3,3,4,1,57.8,1,2,65,58,65,2.758007117,0.394511149,1.6,0.686364474,18.1234,81.44,60.9,22.26,13.83,9.54,2.4,,,,,,,
H0132204,2964,2964,9,1,4,8,6,2,32.26,2,3,32,28,32,2.758007117,2.3,1.7,0,30,70.03,3340.62,1640.13,524.5,335.55,2.2,,70.03,,,,,
H0132212,1231,1231,9,1,2,7,9,1,58.89,1,2,50,49,50,2.758007117,0.326820604,0.6,0,11.3382,27.18,226.41,226.41,28.88,28.88,2.2,,,,,,,
H0132301,1379,,9,1,2,7,6,1,51.52,,,,,,,,,,,64.28,525.5,201.65,68.24,52.43,2.3,,,,,,,
H0132302,1865,1865,9,1,2,6,4,1,55.36,5,1,46,0,46,2.758007117,0.394511149,1.6,0,9.517,23.86,133.95,281.35,44.46,70.34,2.6,,,,,,,
H0132309,3312,3317,9,1,1,3,4,1,47.19,2,5,47,48,48,2.758007117,0.394511149,1.6,0.67559985,18.8525,100.54,70.91,30.28,11.53,16.83,2.5,,,,,,,
H0132311,2426,2430,9,1,1,1,6,1,58.3,1,2,77,62,77,4.026845638,0.497566252,1.6,0.611896227,19.6286,121.26,27.35,75.41,14.63,20.57,2.4,,,,,,,
H0132313,1902,1902,9,1,2,6,2,1,61.84,5,1,27,0,27,2.758007117,0.394511149,2.1,0,12.6129,88.27,62.64,129.25,24.4,32.31,2.5,,,,,,,
H0132401,1157,1214,9,1,2,2,3,1,66.27,4,3,20,0,21,2.758007117,0.394511149,1.6,0.759499849,22.2175,91.93,18.72,51.91,4.68,12.12,2.3,,,,,,,
H0132403,689,693,9,1,4,1,9,1,63.22,2,5,29,26,29,2.758007117,0.278956944,0.6,0.787642636,14.1049,50.31,13.57,69.05,5.81,3.88,2.3,,,,,,,
H0132405,1086,,9,1,4,4,2,1,47.76,,,,,,,,,,,282.71,103.43,172.26,25.86,43.07,3.1,,,,,,,
H0132410,1058,1058,9,1,4,7,9,1,76.71,5,1,47,0,47,2.758007117,2.3,0.6,0,8.9274,34.8,180.25,205.23,29.02,33.93,2.3,,,,,,,
H0132414,1022,1073,9,1,2,3,4,1,46.9,2,3,28,33,33,4.026845638,0.394511149,1.6,0.750995011,30,109.02,21.37,60.59,14.25,19.33,2.5,,,,,,,
H0133103,1112,1167,9,1,2,2,8,1,69.97,3,2,29,0,29,2.758007117,0.394511149,0.6,0.466973096,14.181,68.24,19.99,17.49,5,7.5,2.3,,,,,,,
H0133104,1287,1289,9,1,1,3,5,1,52.99,1,2,79,80,80,2.758007117,0.394511149,1.6,0.794379536,16.4403,85,65.03,31.41,14.16,11.74,2.4,,,,,,,
H0133106,1326,1328,9,1,1,4,6,1,40.92,4,3,54,0,54,2.758007117,0.394511149,1.6,0.866944457,14.5059,76.07,61.48,65.3,10.59,6.76,2.3,,,,,,,
H0133111,1343,1345,9,1,1,3,7,1,62.08,1,2,73,66,73,2.758007117,0.673499268,1,0.764552317,13.9843,93.41,63.85,34.63,6.02,14.84,2.3,,,,,,,
H0133203,2038,2041,9,3,1,5,4,1,43.51,1,4,46,45,46,2.758007117,0.326820604,1.6,0.66267042,13.3866,103.71,49.14,47.94,21.06,20.55,2.4,,,,,,,
H0133204,1326,1328,9,2,1,4,8,1,57.92,1,2,65,61,65,2.758007117,0.673499268,0.6,0.793243025,14.2194,99.27,71.97,67.03,9.67,14.61,2.4,,,,,,,
H0133211,1424,1426,9,1,1,4,9,1,65.01,1,2,65,63,65,2.758007117,0.21575985,0.6,0.724778016,20.5708,203.6,126.61,96.72,31.65,16.83,2.4,,,,,,,
H0133303,1136,1138,9,3,1,4,2,1,61.85,1,2,72,78,78,4.026845638,0.175908222,2.1,0.769030342,22.0946,133.99,67.05,96.47,16.76,14.63,2.3,,,,,,,
H0133309,1470,1472,9,1,1,3,5,1,50.7,2,4,38,40,40,2.758007117,0.394511149,1.6,0.702942502,15.7895,79.21,66.79,27.14,14.96,6.78,2.4,,,,,,,
H0133313,1239,1241,9,2,1,4,2,1,51.78,2,5,47,41,47,2.758007117,0.278956944,2.1,0.681864062,21.103,204.61,103.35,92.48,18.02,17.23,2.4,,,,,,,
H0133314,728,728,9,3,3,7,6,1,72.54,6,1,85,0,85,2.758007117,2.3,1.6,1.765453769,12.5759,41.1,271.91,277.58,67.98,69.4,2.3,,,,,,,
H0133316,2446,2450,9,4,1,5,9,2,52.88,1,2,63,61,63,2.758007117,0.394511149,0.4,0.752802403,13.696,64.67,35.27,35.27,12.61,12.61,2.2,,,,,,,
H0133317,1211,1271,9,4,2,4,1,2,21.95,2,3,25,26,26,2.758007117,0.394511149,2.1,0.898483877,16.1882,81.8,68.25,76.94,5.01,8.55,2,,,,,,,
H0134102,1019,1019,9,1,3,3,5,1,67.25,2,5,35,39,39,2.758007117,0.394511149,1.6,0.715862087,16.3111,74.04,23,57.35,9.86,13.67,2.4,,,,,,,
H0134110,1508,1511,9,1,1,4,5,1,47.9,2,4,51,43,51,2.758007117,0.673499268,1.6,0.75389776,16.373,108.39,70.39,75.86,18.5,7.21,2.5,,,,,,,
H0134118,2134,2137,9,1,1,5,5,1,46.31,6,1,86,0,86,2.758007117,0.21575985,1.6,0.735988115,11.0732,45.47,28.71,19.1,7.95,8.19,2.3,,,,,,,
H0134119,855,855,9,1,4,7,6,1,69.54,5,1,48,0,48,2.758007117,0.394511149,1.6,0,10.5864,33.03,132.16,144.5,37.05,24.7,2.4,,,,,,,
H0134207,1321,,9,1,2,3,8,1,65.99,,,,,,,,,,,67.18,74.63,19.63,8.41,8.41,2.5,,,,,,,
H0134210,1773,1776,9,1,1,3,5,1,64.21,1,2,45,45,45,2.758007117,0.278956944,1.6,0.63310405,18.5598,122.13,72.25,31.1,19.55,20.74,2.5,,,,,,,
H0134213,1175,1177,9,1,1,2,5,1,66.29,2,3,38,45,45,2.758007117,0.394511149,1.6,0.580009979,16.4349,81,29.31,29.31,12.56,12.56,2.4,,,,,,,
H0134302,734,734,9,1,3,7,6,1,56.21,1,2,80,78,80,2.758007117,0.394511149,1.6,0,11.0543,42.69,189.43,131.59,36.46,54.7,2.4,,,,,,,
H0134405,750,750,9,1,3,7,6,1,66.21,6,1,69,0,69,2.758007117,2.3,1.6,1.043044155,13.6876,40.92,193.93,67.55,33.28,23.49,2.3,,,,,,,
H0134409,1254,1317,9,1,2,3,9,1,70.72,4,2,27,0,27,2.758007117,0.278956944,0.6,0.818218773,15.0788,63.73,61.11,37.85,9.38,8.13,2.4,,,,,,,
H0134411,1747,1749,9,1,1,3,4,1,58.23,2,4,36,38,38,2.758007117,0.497566252,1.6,0.598924337,26.1058,156.6,34.19,17.36,13.84,17.36,2.4,,,,,,,
H0141102,1618,1620,9,1,1,3,5,1,61.8,1,2,61,62,62,2.758007117,0.278956944,1.6,0.617399953,26.3112,149.77,43.49,20.14,13.22,5.04,2.4,,,,,,,
H0141106,1860,1863,9,1,1,1,6,1,43.71,1,2,47,42,47,2.758007117,0.394511149,1.6,0.668618927,15.6846,85.67,98.75,23.32,5.83,5.83,2.5,,,,,,,
H0141201,646,646,9,1,3,7,7,1,75.11,6,1,95,0,95,2.758007117,2.3,1,1.053783463,8.234,43.53,150.06,67.57,67.57,67.57,2.4,,,,,,,
H0141202,1455,1457,9,1,1,1,6,1,36.55,1,2,68,65,68,2.758007117,0.175908222,1.6,0.694052801,13.4496,76.26,101.21,20.78,7.79,5.19,2.4,,,,,,,
H0141208,1945,1948,9,1,1,2,4,1,45.9,1,2,73,72,73,2.758007117,0.21575985,1.6,0.661367938,14.9223,61.04,17.17,27.45,11.45,11.77,2.5,,,,,,,
H0141210,2405,2409,9,1,1,2,4,1,61.43,1,2,43,42,43,2.758007117,0.21575985,1.6,0.579649305,24.2825,84.08,22.34,25.54,9.58,6.38,2.6,,,,,,,
H0141212,1991,1994,9,1,1,5,8,1,63.81,1,2,66,74,74,2.758007117,0.326820604,0.6,0.658686428,9.4081,44.47,30.37,7.82,8.59,7.82,2.4,,,,,,,
H0141214,3416,3421,9,1,1,3,4,1,49.42,1,3,56,51,56,2.758007117,0.21575985,1.6,0.707622914,17.9546,72.92,88.53,26.23,5.83,2.92,2.5,,,,,,,
H0141302,697,697,9,1,3,7,6,1,68.32,6,1,67,0,67,2.758007117,2.3,1.6,0.64812458,10.1454,51.25,81.47,28.56,7.14,7.14,2.3,,,,,,,
H0141304,1997,2000,9,1,1,5,6,1,46.35,1,2,70,68,70,2.758007117,0.278956944,1.6,0.593994769,10.7876,91.88,74.44,35.55,12.63,5.88,2.4,,,,,,,
H0141306,1097,1152,9,1,2,2,6,1,65.89,2,3,27,28,28,2.758007117,0.394511149,1.6,0.593968661,15.2344,67.92,25.3,32.27,6.32,6.32,2.3,,,,,,,
H0141307,1189,1248,9,1,2,3,6,1,53.75,6,1,75,0,75,2.758007117,0.278956944,1.6,0.641381503,16.018,58.94,25.74,32.76,2.86,6.76,2.3,,,,,,,
H0141309,835,835,9,1,3,2,5,1,53.47,3,3,43,0,43,2.758007117,0.21575985,1.6,0.797608462,15.6168,78.65,23.57,77.38,5.89,14.58,2.9,,,,,,,
H0141409,1649,1651,9,1,1,5,5,1,56.24,1,2,66,66,66,2.758007117,0.21575985,1.6,0.611121739,12.6691,140.58,61.56,91.28,10.6,39.12,3.3,,,,,,,
H0142103,1925,1927,9,1,1,4,4,1,58.41,1,2,59,62,62,2.758007117,0.326820604,1.6,0.861112647,21.201,110.32,39.72,39.57,16.35,13.23,2.5,,,,,,,
H0142107,1925,1927,9,1,1,4,7,1,51.83,2,4,31,38,38,2.758007117,0.278956944,1,0.796820557,14.749,127.52,86.16,78.41,13.83,19.6,2.4,,,,,,,
H0142204,755,755,9,1,3,7,5,1,71.61,5,1,56,0,56,2.758007117,0.21575985,1.6,0,7.9038,40.69,69.42,22.63,18.49,9.7,2.4,,,,,,,
H0142303,1105,1105,9,1,2,7,8,1,55.36,6,1,86,0,86,2.758007117,2.3,0.6,1.769428051,13.7471,44.39,290.46,420.71,62.68,84.38,2.4,,,,,,,
H0142304,1588,1590,9,1,1,5,4,1,59.67,6,1,72,0,72,2.758007117,0.148482892,1.6,0.735700441,10.1681,51.93,8.85,72.11,5.9,11.15,2.5,,,,,,,
H0142306,2410,2414,9,1,1,3,4,1,57.56,1,2,75,75,75,2.758007117,0.326820604,1.6,0.690009787,16.6175,79.16,60.93,23.23,17.83,9.96,2.6,,,,,,,
H0142401,1935,1935,9,1,1,8,5,2,68.68,1,2,80,77,80,2.758007117,2.3,2,0,16.2299,39.53,1133.22,847.11,283.3,165.49,2.3,,39.53,,,,,
H0142403,1357,1359,9,1,1,1,3,1,58.34,4,3,80,0,80,2.758007117,0.175908222,1.6,0.714367162,16.8069,110.88,90.88,30.76,15.31,5.58,2.5,,,,,,,
H0142405,2438,2442,9,1,1,2,2,1,18.94,5,1,44,0,44,2.758007117,2.3,2.1,0.653095088,15.0683,67.68,17.14,31.2,7.34,7.8,2.6,,,,,,,
H0142406,1189,1248,9,1,2,3,8,1,63.9,1,2,50,42,50,2.758007117,0.497566252,0.6,0.670365924,12.4345,81.73,79.41,15.61,7.8,10.4,2.3,,,,,,,
H0142411,1449,1522,9,1,2,2,3,1,62.13,3,3,31,0,31,2.758007117,0.44212914,1.6,0.579111044,16.3701,71,15.83,32.4,6.79,8.1,2.4,,,,,,,
H0142412,718,718,9,1,3,7,6,1,71.63,1,2,64,63,64,2.758007117,2.3,1.6,0.59798206,9.2793,61.89,70.23,28.92,12.39,12.39,2.3,,,,,,,
H0143103,1396,1398,9,1,1,3,6,1,56.69,1,2,65,64,65,2.758007117,0.673499268,1.6,0.678048352,16.6341,90.77,27.87,67.78,6.97,13.94,2.4,,,,,,,
H0143104,2074,2178,9,1,2,4,9,1,59.74,4,3,52,0,52,2.758007117,0.278956944,0.6,0.888336564,15.4636,69.98,64.26,70.56,13.15,8.11,2.3,,,,,,,
H0143105,3375,3380,9,1,1,4,8,1,56.86,2,4,49,42,49,4.026845638,0.21575985,0.6,0.833972017,16.9766,102.31,83.23,72.86,14.47,12.1,2.4,,,,,,,
H0143106,2798,2812,9,1,4,5,6,1,59.04,6,1,63,0,63,2.758007117,0.21575985,1.6,0.630843134,9.4669,53.27,37.63,12.45,8.13,5.34,2.3,,,,,,,
H0143108,2167,2276,9,1,2,4,8,2,62.65,2,4,38,35,38,2.758007117,0.394511149,0.6,0.772774578,14.4179,102.45,84.26,75.37,8.25,12.59,2.2,,,,,,,
H0143110,2451,2454,9,1,1,4,5,1,56.62,4,2,86,0,86,2.758007117,0.175908222,1.6,0.867827548,15.6227,76.67,57.99,65.95,14.5,6.54,2.3,,,,,,,
H0143111,1306,1306,9,1,1,7,8,1,65.12,6,1,78,0,78,2.758007117,2.3,0.6,1.530040281,6.3288,32.14,141.28,134.01,48.67,45.55,2.3,,,,,,,
H0143205,1573,1576,9,2,1,3,4,1,68.51,1,2,80,74,80,2.758007117,0.21575985,1.6,0.716741947,16.0457,71.18,21.17,58.59,9.07,13.23,2.5,,,,,,,
H0143401,1495,1497,9,1,1,2,6,1,64.77,5,1,43,0,43,2.758007117,0.673499268,1.6,0.5973164,13.2724,88.1,40.34,30.31,17.29,9.7,2.4,,,,,,,
H0143402,1475,1477,9,1,1,3,6,1,58.25,1,2,64,66,66,2.758007117,0.326820604,1.6,0.650820727,15.6471,135.17,8.48,55.88,8.48,22.45,2.4,,,,,,,
H0143409,1201,1203,9,1,1,3,2,1,54.2,4,2,52,0,52,2.758007117,0.673499268,2.1,0.646809612,18.4306,192.92,74.17,47.88,31.79,31.92,2.4,,,,,,,
H0144101,1304,1306,9,1,1,4,5,1,61.53,1,2,72,77,77,2.758007117,0.21575985,1.6,0.767342903,24.723,185.49,61.1,56,6.73,11.83,2.3,,,,,,,
H0144102,982,1031,9,1,2,4,4,1,41.22,2,4,37,37,37,4.026845638,0.497566252,1.6,0.837348344,19.8578,95.56,77.17,62.91,8.16,16.06,2.4,,,,,,,
H0144106,1621,1623,9,1,1,4,7,1,53.56,1,3,61,57,61,2.758007117,0.497566252,1,0.687687324,16.7651,216.89,106.24,95.34,17.39,15.07,2.3,,,,,,,
H0144108,1467,1469,9,1,1,4,7,1,53.1,1,2,52,50,52,2.758007117,0.394511149,1,0.715223973,17.1676,140.36,96.91,90.15,7.74,12.08,2.4,,,,,,,
H0144204,1234,1236,9,1,1,4,6,1,51.6,2,3,42,36,42,2.758007117,0.394511149,1.6,0.86340462,14.1042,77.28,68.39,60.92,7.03,13.76,2.4,,,,,,,
H0144209,1309,1311,9,1,1,2,2,1,54.79,2,3,29,30,30,2.758007117,0.21575985,2.1,0.486650189,16.91,106.01,15.49,29.75,10.33,7.44,2.4,,,,,,,
H0144210,1388,1390,9,1,1,1,9,1,76.67,2,3,34,32,34,2.758007117,0.278956944,0.6,0.768780286,26.3816,124.6,112.63,18.92,8.11,8.11,2.3,,,,,,,
H0144212,774,774,9,1,4,7,6,2,63.2,6,1,74,0,74,2.758007117,0.326820604,1.7,0,10.608,58.88,86.58,33.97,9.62,3.77,2.3,,,,,,,
H0144402,791,791,9,1,3,7,8,1,70.95,6,1,79,0,79,2.758007117,2.3,0.6,0.674141,8.0158,46.53,80.66,20.71,6.94,8.87,2.3,,,,,,,
H0151102,3952,3958,9,1,1,2,2,1,54.62,5,1,45,0,45,2.758007117,0.326820604,2.1,0.614620232,16.9131,101.39,18.39,54.98,7.88,13.75,2.4,,,,,,,
H0151103,1141,1141,9,1,2,6,2,1,10.76,4,2,38,0,38,2.758007117,0.44212914,2.1,0,11.6591,55.82,131.69,61.87,61.65,6.87,2.4,,,,,,,
H0151111,1005,1005,9,1,2,7,4,1,61.57,1,2,31,30,31,2.758007117,2.3,1.6,0,10.7196,65.62,301.62,352.03,129.27,78.86,2.4,,,,,,,
H0151202,739,739,9,1,3,7,6,2,58.56,5,1,36,0,36,2.758007117,2.3,1.7,0,20.9626,69.27,335.78,241.02,236.9,331.66,2.4,,,,,,,
H0151203,603,603,9,1,4,6,3,1,60.37,1,2,51,53,53,2.758007117,0.326820604,1.6,0,23.9716,58.18,25.32,107.95,37.98,11.99,2.7,,,,,,,
H0151206,1140,1197,9,1,2,1,2,1,45.81,4,3,21,0,21,2.758007117,0.326820604,2.1,0.758146886,17.1123,87.98,103.39,18.61,11.49,4.65,2.5,,,,,,,
H0151207,1175,1234,9,1,2,2,2,1,62.28,4,2,21,0,21,2.758007117,1.041902605,2.1,0.589566724,14.4975,80.06,18.33,41.89,4.58,10.47,2.5,,,,,,,
H0151213,718,718,9,1,3,8,6,2,69.92,5,1,53,0,53,2.758007117,2.3,1.7,0,16.7772,32.53,1973.7,1783.22,642.6,833.09,2.3,,32.53,,,,,
H0151301,1622,1622,9,1,2,6,3,1,56.72,1,2,29,25,29,4.026845638,2.3,1.6,0.481687111,15.6076,68.83,36.74,42.64,9.18,10.66,3,,,,,,,
H0151302,1005,1056,9,1,2,2,3,1,69.41,1,6,26,25,46,2.758007117,0.326820604,1.6,0.537943915,24.4248,66.89,13.61,13.61,5.83,5.83,2.5,,,,,,,
H0151305,1732,1734,9,1,1,2,3,1,68.11,1,2,78,71,78,2.758007117,0.21575985,1.6,0.4802315,18.4066,86.47,21.52,21.52,9.22,9.22,2.7,,,,,,,
H0151310,979,1028,9,1,2,1,6,1,56.01,2,5,43,31,43,2.758007117,0.394511149,1.6,0.735676848,16.0702,70.76,69.12,24.57,10.53,10.53,2.4,,,,,,,
H0151311,2370,2374,9,1,1,2,2,1,63.54,2,3,30,29,30,2.758007117,0.394511149,2.1,0.539257404,16.5465,105.18,21.03,29.41,14.02,12.6,2.5,,,,,,,
H0151405,2633,2633,9,1,1,7,9,1,64.71,5,1,43,0,43,2.758007117,2.3,0.6,0.796423244,9.239,37.16,44.52,55.33,6.36,14.63,2.4,,,,,,,
H0151406,884,884,9,1,3,7,5,1,67.9,6,1,72,0,72,2.758007117,2.3,1.6,1.252957414,22.43,92.69,251.33,251.33,70.99,70.99,2.3,,,,,,,
H0151408,931,931,9,1,1,7,8,1,75.16,6,1,81,0,81,2.758007117,2.3,0.6,0,13.3151,40.74,304.51,304.51,76.13,76.13,2.3,,,,,,,
H0151410,1935,1938,9,1,1,2,4,1,57.68,1,2,69,67,69,2.758007117,0.394511149,1.6,0.547792465,16.1869,67.47,23.91,23.91,10.25,10.25,2.5,,,,,,,
H0152101,1535,1537,9,1,1,4,3,2,15.83,3,2,49,0,49,4.026845638,0.394511149,1.9,0.708797276,22.4756,213.67,91.1,100.12,22.78,21.68,2.3,,,,,,,
H0152103,931,936,9,3,4,3,8,1,46.54,2,4,46,44,46,2.758007117,0.278956944,0.6,0.874492205,14.0652,67.81,44.82,49.97,11.54,14.25,2.4,,,,,,,
H0152105,1589,1591,9,1,1,5,6,1,54.24,6,1,71,0,71,2.758007117,0.394511149,1.6,0.717531113,11.7463,68.28,47.3,38.32,5.04,12.73,2.4,,,,,,,
H0152109,1997,2000,9,2,1,3,3,1,45.45,1,2,57,52,57,2.758007117,0.394511149,1.6,0.759375644,13.3517,95.7,111.25,25.65,33.7,2.85,2.6,,,,,,,
H0152304,1964,1967,9,1,1,5,7,1,57.08,1,2,70,69,70,2.758007117,0.278956944,1,0.785433837,10.8449,53.29,37.57,32.87,6.33,10.59,2.3,,,,,,,
H0152313,1533,1536,9,1,1,4,4,1,63,1,2,73,62,73,2.758007117,0.175908222,1.6,0.741346991,16.4144,143.39,75.82,90.34,23.85,17.63,2.4,,,,,,,
H0153103,1343,1410,9,1,2,3,4,1,45.99,3,4,49,0,49,2.758007117,0.278956944,1.6,0.579519515,18.9784,152.91,94.61,38.7,32.58,4.3,2.9,,,,,,,
H0153107,1787,1790,9,1,1,2,3,1,58.3,2,4,33,29,33,2.758007117,0.497566252,1.6,0.587863828,16.3825,69.3,16.52,38.61,7.08,9.65,2.6,,,,,,,
H0153109,877,877,9,1,3,7,5,1,70.04,1,2,65,58,65,2.758007117,2.3,1.6,0,14.6826,50.87,429.29,369.24,46.16,92.31,2.3,,,,,,,
H0153112,1211,1271,9,1,2,1,4,1,57.77,4,3,47,0,47,2.758007117,0.394511149,1.6,0.714707484,14.2727,60.9,68.93,21.5,13.63,0,3.1,,,,,,,
H0153202,2090,2093,9,1,1,3,8,1,69.11,3,2,33,0,33,2.758007117,0.394511149,0.6,0.717307055,20.148,66.06,56.68,15.65,4.47,6.71,2.3,,,,,,,
H0153205,1933,1936,9,1,1,2,3,1,66.35,2,3,39,24,39,2.758007117,0.394511149,1.6,0.629076491,14.3241,63.97,15.4,41.25,6.6,10.31,2.5,,,,,,,
H0153206,1191,1191,9,1,2,6,5,1,78.13,6,1,84,0,84,2.758007117,2.3,1.6,0,9.9328,33.24,239.09,244.95,95.47,89.61,2.3,,,,,,,
H0153211,2684,2688,9,1,1,2,4,1,52.12,1,2,78,79,79,2.758007117,0.21575985,1.6,0.536159555,17.9815,69.7,20.13,23.48,13.42,10.06,2.5,,,,,,,
H0153405,1673,1675,9,1,1,4,9,1,63.25,2,5,48,43,48,2.758007117,0.175908222,0.6,0.682253061,21.5731,180.7,83.77,88.59,23.08,25.14,2.3,,,,,,,
H0153408,921,921,9,1,3,3,5,2,58.93,5,1,56,0,56,2.758007117,0.21575985,2,0.743645275,18.2395,83.08,39.43,70.34,8.16,8.16,2.4,,,,,,,
H0153409,832,832,9,1,3,1,5,2,50.1,1,3,58,53,58,2.758007117,0.21575985,2,0.717556733,14.0976,75.63,70.2,27.98,10.49,7,2.4,,,,,,,
H0154102,3404,3409,9,1,1,4,3,2,36.08,2,4,33,34,62,2.758007117,2.3,2.1,1.036950717,17.6947,49.63,19.03,41.75,8.13,7.21,2,,,,,,,
