aacode,dwell_weight,hhld_weight,GOR_EHS,rumorph,Tenure4x,dwtypenx,dwage9x,wallcavx,sap09,hhtype6,hhsizex,agehrpx,agepartx,ageoldx,Uglazing,Uroof,Uextwall,Ugndfloor,Permeability,floorx,efwalar,ebwalar,efwinar,ebwinar,finlivcl,,,,min,mean,max,sd
H0014104,1001,1001,10,3,2,5,7,1,47.2,6,1,89,0,89,2.758007117,0.394511149,1,0.678293184,10.434,71.66,36.54,45.45,5.47,7.7,2.3,,,,,,,
H0014106,1085,1096,10,2,4,7,5,1,67.34,5,1,53,0,53,2.758007117,2.3,1.6,0.684618046,7.4547,44.57,83.03,34.32,17.84,8.58,2.4,,,,,,,
H0014205,1084,1086,10,3,1,4,4,1,52.27,1,2,63,62,63,2.758007117,0.394511149,1.6,0.71804734,18.995,214.2,86.89,147.37,21.72,36.84,2.5,,,,,,,
H0014303,917,917,10,1,2,2,5,2,68.29,1,2,35,37,37,2.758007117,0.394511149,1.6,0.726850627,14.2756,86.51,16.27,34.94,6.52,14.29,2.4,,,,,,,
H0014308,972,972,10,1,2,1,9,1,72.4,3,2,25,0,25,2.758007117,0.148482892,0.6,0.757180682,17.2468,56.69,53.61,17.95,11.32,4.49,2.3,,,,,,,
H0014409,761,769,10,1,4,7,8,1,66.88,6,1,80,0,80,2.758007117,0.394511149,0.6,1.606999649,9.5249,34.96,222.92,204.03,47.38,45.28,2.4,,,,,,,
H0014411,907,907,10,4,2,3,1,2,34.03,5,1,55,0,55,4.026845638,0.175908222,2.1,0.782871954,17.4087,76.25,62.94,34.6,9.39,2.68,2.1,,,,,,,
H0021102,1535,1558,10,1,1,6,1,2,45.28,2,3,33,30,33,2.758007117,2.3,2.1,0.700514023,16.3434,86,121.8,45.4,26.15,11.35,2.8,,,,,,,
H0021109,901,901,10,1,4,2,8,1,71.17,2,5,44,38,44,2.758007117,0.394511149,0.6,0.485844927,13.5474,77.62,21.28,21.28,9.12,9.12,2.3,,,,,,,
H0021202,1505,1506,10,2,1,5,5,1,52.4,6,1,78,0,78,2.758007117,0.148482892,1.6,0.747292616,11.7716,66.12,37.34,40.07,7.71,10.81,2.4,,,,,,,
H0021210,1502,1504,10,3,1,5,8,1,58.05,2,5,34,29,34,2.758007117,0.394511149,0.6,0.459288556,10.8403,120.48,32.81,34.87,7.87,11.45,2.4,,,,,,,
H0021304,1850,1852,10,2,1,3,8,1,53.27,1,4,58,54,58,2.758007117,0.175908222,0.6,0.659739021,14.6216,76.39,17.93,85.24,7.68,10.29,2.3,,,,,,,
H0021311,1473,1475,10,4,1,5,7,2,33.24,5,1,56,0,56,2.758007117,0.673499268,0.45,0.799823549,9.4332,54.5,25.94,26.23,17.77,9.96,2.1,,,,,,,
H0021404,1591,1591,10,3,2,5,6,1,41.96,6,1,81,0,81,2.758007117,0.175908222,1.6,0.577119368,10.0283,78.91,18.74,49.71,8.03,8.03,2.3,,,,,,,
H0021405,1589,1591,10,3,1,4,1,1,40.6,6,1,84,0,84,2.758007117,0.394511149,2.1,0.869281709,21.9785,150.82,88.94,74.68,19.45,5.83,2.4,,,,,,,
H0021411,790,790,10,2,3,2,5,1,59.01,3,2,50,0,50,2.758007117,0.278956944,1.6,0.603987429,15.9626,69.41,25.84,29.54,11.08,7.38,2.4,,,,,,,
