,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,,,,,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Appliance,EP_purpose,Useful Gains,Fraction latent,Design Level (W) ,Gross Rated Cooling COP,Gross Rated Heating COP,Efficiency,Peak_Flow_Rate,4,5,6,7,8,9,10,PM25(mg/min),PM10(mg/min),NO2(mug/s),Calculation Method,Notes,watts per zone floor area [w/m2],watts per person [w/p],fraction radiant,fraction lost,occupancy [m2/p],flow per exterior surface m3/s-m2,flow rate per person m3/s-p,,,sigma,lower,upper
Stairs_Lighting,Lights,,,,,,,,,,,,,,,,,,Watts/Area,,8.847352025,,,,,,,,,0.884735202,6.193146417,11.50155763
Circulation_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.85,,,,,,,,,0.185,1.295,2.405
ComputerCluster_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,27.81,,,,,,,,,2.781,19.467,36.153
Kitchen_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,14.72,,,,,,,,,1.472,10.304,19.136
Laboratory_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,8.73,,,,,,,,,0.873,6.111,11.349
Lavatory_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,5.48,,,,,,,,,0.548,3.836,7.124
LectureTheatre_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,6,,,,,,,,,0.6,4.2,7.8
Lift_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,0,,,,,,,,,0,0,0
Meeting_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,8,,,,,,,,,0.8,5.6,10.4
Office_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,1.2,8.4,15.6
Plant_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,52.5,,,,,,,,,5.25,36.75,68.25
PrintRoom_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,12,,,,,,,,,1.2,8.4,15.6
Reception_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,6.19,,,,,,,,,0.619,4.333,8.047
Riser_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,0,,,,,,,,,0,0,0
Server_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,50,,,,,,,,,5,35,65
Storage_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,0,,,,,,,,,0,0,0
Workshop_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,14,,,,,,,,,1.4,9.8,18.2
Shower_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,5.48,,,,,,,,,0.548,3.836,7.124
LiftLobby_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.85,,,,,,,,,0.185,1.295,2.405
Stairs_Equipment,ElectricEquipment,,,,,,,,,,,,,,,,,,Watts/Area,,1.85,,,,,,,,,0.185,1.295,2.405
Circulation_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
ComputerCluster_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Kitchen_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Laboratory_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Lavatory_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
LectureTheatre_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Meeting_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Office_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
PrintRoom_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Reception_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Riser_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Server_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Storage_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Workshop_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Shower_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
LiftLobby_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
Stairs_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.00043409,,,,4.34E-05,0.000303863,0.000564317
ZoneVentilation,ZoneVentilation:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/Person,,,,,,,,0.008,,,0.0016,0.0032,0.0128
Circulation_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,4,,4.00E-01,2.80E+00,5.20E+00
